iter	RMSE
123	0.1997548518
124	0.1996892622
125	0.199582094
126	0.1992945475
127	0.199245127
128	0.1991123232
129	0.199043585
130	0.1989768193
131	0.1985979902
132	0.1985006392
133	0.1983933595
134	0.1983343042
135	0.1982535761
136	0.1981189026
137	0.1980395224
138	0.1979650001
139	0.1978129691
140	0.1975712636
141	0.1974983623
142	0.1973894094
143	0.1973209901
144	0.1972320465
145	0.1971121821
146	0.1969878832
147	0.1969096392
148	0.1968162643
149	0.1967325014
150	0.1966807701
151	0.1966077934
152	0.196554066
153	0.196434114
154	0.1963488302
155	0.1962573475
156	0.1961457393
157	0.1960824738
158	0.195887307
159	0.1956986768
160	0.1956497794
161	0.1955970933
162	0.1955724662
163	0.195441361
164	0.1953866488
165	0.1953179628
166	0.1951468066
167	0.195094518
168	0.1950289128
169	0.1949155877
170	0.1948676187
171	0.1947262141
172	0.1945941916
173	0.1945494553
174	0.1944629143
175	0.1943396162
176	0.1942800429
177	0.1942092727
178	0.1941699726
179	0.1941127427
180	0.1940488092
181	0.1939768521
182	0.1938398149
183	0.1937395807
184	0.1937096519
185	0.1936248345
186	0.193583774
187	0.193528053
188	0.1934764301
189	0.1934414028
190	0.1934039941
191	0.1933616326
192	0.1933117913
193	0.1931978923
194	0.1930941634
195	0.1930508918
196	0.1929346466
197	0.1929026987
198	0.1928591828
199	0.1928087962
200	0.1927686216
201	0.1926772599
202	0.192642731
203	0.1926118534
204	0.1925681269
205	0.1924837945
206	0.1924253518
207	0.1923639197
208	0.1923270189
209	0.1922952956
210	0.1921957434
211	0.1921245077
212	0.1920871756
213	0.1920120424
214	0.1919771795
215	0.1919561877
216	0.1918416241
217	0.1917896918
218	0.1917549383
219	0.1916099088
220	0.1915209333
221	0.1914028684
222	0.1913700039
223	0.1913369291
224	0.1913030765
225	0.1912742422
226	0.1912408067
227	0.1912177872
228	0.1911281204
229	0.1910943108
230	0.1910399526
231	0.1909826934
232	0.19094902
233	0.190905646
234	0.190865341
235	0.190823997
236	0.1907787009
237	0.1907550967
238	0.1907181837
239	0.1906463435
240	0.1906128647
241	0.1905106427
242	0.1904695226
243	0.1904272938
244	0.1903961734
245	0.1903240807
246	0.1902637166
247	0.1901302819
248	0.1901096839
249	0.190072637
250	0.1900420031
251	0.1899855304
252	0.1899356234
253	0.1899128068
254	0.1898826472
255	0.1898446799
256	0.1898103253
257	0.1897691992
258	0.1896507276
259	0.1896219348
260	0.1895984594
261	0.1895690164
262	0.1894929642
263	0.1893778418
264	0.1893147319
265	0.1892467885
266	0.1892205344
267	0.1891836337
268	0.1891589294
269	0.1891330177
270	0.1890786551
271	0.1890645077
272	0.1890343224
273	0.1889562595
274	0.1889308271
275	0.1888842608
276	0.1888691618
277	0.1888458242
278	0.1888249934
279	0.1888069152
280	0.1887641245
281	0.1887436765
282	0.1886946479
283	0.1886513931
284	0.1886272937
285	0.1885981302
286	0.1885186285
287	0.1884938021
288	0.1884544069
289	0.1884255819
290	0.1882718577
291	0.1882179428
292	0.1881927948
293	0.1880914676
294	0.1880552288
295	0.1880152051
296	0.1879272471
297	0.1879115418
298	0.1878041249
299	0.1877594948
300	0.1877395789
301	0.1877222359
302	0.1876896508
303	0.1876693338
304	0.187572436
305	0.1875454353
306	0.1875207928
307	0.1874983589
308	0.1874367562
309	0.1874175692
310	0.1873696955
311	0.1873344291
312	0.1873167377
313	0.1872715046
314	0.1872530115
315	0.1872086247
316	0.1871945845
317	0.1871706088
318	0.1871355895
319	0.187118269
320	0.1870618861
321	0.1870120893
322	0.1869896612
323	0.1869624884
324	0.1869441034
325	0.186891696
326	0.1868683876
327	0.1867864861
328	0.186764804
329	0.1867474509
330	0.1867064933
331	0.186690953
332	0.1866561057
333	0.1866009835
334	0.1865482116
335	0.1865345476
336	0.1865130097
337	0.1864946237
338	0.1864629197
339	0.1864130284
340	0.1863119664
341	0.1862921372
342	0.1862378553
343	0.1862210168
344	0.1861729523
345	0.1861500047
346	0.1861235581
347	0.1861116593
348	0.186064858
349	0.1860332548
350	0.1860204528
351	0.1860077488
352	0.1859940401
353	0.1859046798
354	0.185891111
355	0.1858655945
356	0.1858371265
357	0.1857892507
358	0.1857694359
359	0.1857545134
360	0.1857402489
361	0.1857106875
362	0.1856725038
363	0.1856342533
364	0.1856055161
365	0.1855695042
366	0.1855505626
367	0.1855341534
368	0.1855122969
369	0.1854734386
370	0.1854351263
371	0.1854015788
372	0.185343277
373	0.1852934883
374	0.1852788582
375	0.1852627482
376	0.185250818
377	0.1852247365
378	0.1851816316
379	0.1851377611
380	0.1851251829
381	0.1850883002
382	0.1850687912
383	0.1850237364
384	0.1849934217
385	0.184953466
386	0.1848985297
387	0.1848714877
388	0.1848401168
389	0.1848080675
390	0.1847812002
391	0.1846963966
392	0.1846768224
393	0.1846473079
394	0.184629533
395	0.1846100619
396	0.1845990516
397	0.1845637639
398	0.1845267682
399	0.1845024484
400	0.1844539815
401	0.184406992
402	0.1843936024
403	0.184364878
404	0.184350743
405	0.1843223916
406	0.1842873832
407	0.1842573977
408	0.1842032527
409	0.184191134
410	0.1841779925
411	0.1841660434
412	0.1841542153
413	0.1841389503
414	0.1841159461
415	0.1840879127
416	0.1840657817
417	0.1840534826
418	0.1840279386
419	0.1840071128
420	0.1839578388
421	0.1839204674
422	0.1838839119
423	0.1838526054
424	0.1838372459
425	0.1838192058
426	0.1837733196
427	0.1837519556
428	0.1837329833
429	0.1836885877
430	0.1836593141
431	0.1836218814
432	0.1836106492
433	0.183560432
434	0.1835318233
435	0.1834874631
436	0.1834631181
437	0.1834427125
438	0.1834289345
439	0.1834114295
440	0.1833919716
441	0.1833754592
442	0.1833512343
443	0.1833310653
444	0.1833203154
445	0.1833040608
446	0.1832895077
447	0.1832472948
448	0.1832226223
449	0.1832020073
450	0.1831773454
451	0.1831557846
452	0.1831141263
453	0.1830945276
454	0.1830823247
455	0.1830741479
456	0.1830478397
457	0.183028771
458	0.1829973237
459	0.1829791586
460	0.182962878
461	0.1829464028
462	0.1829270766
463	0.1829146796
464	0.1828941828
465	0.1828756298
466	0.1828536643
467	0.1828401902
468	0.182820478
469	0.1827847931
470	0.1827512753
471	0.1827175121
472	0.1827085538
473	0.1826916779
474	0.1826840324
475	0.1826616519
476	0.1826262954
477	0.1825880958
478	0.182579913
479	0.1825476761
480	0.1824987727
481	0.1824910305
482	0.1824833655
483	0.1824529243
484	0.1824150049
485	0.1823954295
486	0.1823822823
487	0.1823395469
488	0.1823032068
489	0.1822509044
490	0.1822034692
491	0.182178526
492	0.1821703517
493	0.1821421832
494	0.1821161777
495	0.1820876824
496	0.1820640493
497	0.1820467886
498	0.1820285878
